Plot_Pedigree,Plot,Pedigree,Range,Row,Pass,Rep,Yld_ton_ha,GT_Pan_Count
2005-SC964,2005,SC964,2,6,2,1,3.941256526,166
2009-RTx430BL,2009,RTx430BL,2,10,3,1,4.333421354,139
2013-Tx7000,2013,Tx7000,2,14,4,1,5.192731031,168
2017-RLBK1,2017,RLBK1,2,18,5,1,1.378815885,102
2021-SC326-6,2021,SC326-6,2,22,6,1,3.612592008,139
2025-RTx430,2025,RTx430,2,26,7,1,1.695221599,82
3005-BTx635_DW2,3005,BTx635_DW2,3,6,2,1,4.118019764,128
3009-M10P0052_BTx623,3009,M10P0052_BTx623,3,10,3,1,3.85462375,158
3013-SC56,3013,SC56,3,14,4,1,2.242134945,215
3017-KS19,3017,KS19,3,18,5,1,4.738223787,200
3021-SC348,3021,SC348,3,22,6,1,4.293342339,97
3025-2219-3_Stg2NIL,3025,2219-3_Stg2NIL,3,26,7,1,4.615698622,133
4005-SN72_PINK_KAFIR,4005,SN72_PINK_KAFIR,4,6,2,1,3.245998947,153
4009-BTx615,4009,BTx615,4,10,3,1,4.616171901,138
4013-R11018,4013,R11018,4,14,4,1,3.067255978,123
4017-BTx2752,4017,BTx2752,4,18,5,1,5.1084674,187
4021-6085-9_Stg4NIL,4021,6085-9_Stg4NIL,4,22,6,1,3.606630635,140
4025-RTx436,4025,RTx436,4,26,7,1,3.804690578,123
5005-SC35_14E,5005,SC35_14E,5,6,2,1,2.486536993,148
5009-R9188,5009,R9188,5,10,3,1,4.134981351,233
5013-RTx2536,5013,RTx2536,5,14,4,1,3.20315984,136
5017BTx623_DW1,5017,BTx623_DW1,5,18,5,1,3.788660465,165
5021-96CD635,5021,96CD635,5,22,6,1,4.329557131,153
5025-BTx642_Tx7000NILStg1,5025,BTx642_Tx7000NILStg1,5,26,7,1,3.924948244,148
6005-BTx623,6005,BTx623,6,6,2,1,4.488727539,171
6009-B10001,6009,B10001,6,10,3,1,5.553393957,165
6013-SC1154-14E,6013,SC1154-14E,6,14,4,1,2.672492956,140
6017-P898012,6017,P898012,6,18,5,1,3.143361229,159
6021-B4R_BTx406_RIO,6021,B4R_BTx406_RIO,6,22,6,1,2.513284652,162
6025-2290-19_Stg3NIL,6025,2290-19_Stg3NIL,6,26,7,1,3.61794714,145
7005-SC328,7005,SC328,7,6,2,1,2.919045068,144
7009-1790E_SC56_SC33,7009,1790E_SC56_SC33,7,10,3,1,3.45105049,206
7013-Tx2882,7013,Tx2882,7,14,4,1,1.948940359,91
7017BTx642,7017,BTx642,7,18,5,1,1.90800733,130
7021-Macia,7021,Macia,7,22,6,1,5.109309041,160
7025-SC283,7025,SC283,7,26,7,1,3.520586394,204
