,id,image_name,rep,height_pixels,width_pixels
0,2005-SC964,1. P1-WOF-Fr.jpg,1,234.11768,387.76074
1,2005-SC964,11. P3-WOF-Ba.jpg,2,1855.03,450.0127
2,2005-SC964,13. P4-WOF-Fr.jpg,3,1633.1171,680.26636
3,2005-SC964,15. P4-WOF-Ba.jpg,4,1624.04,648.19385
4,2005-SC964,3. P1-WOF-Ba.jpg,5,1586.7078,637.8408
5,2005-SC964,5. P2-WOF-Fr.jpg,6,1441.6348,593.11206
6,2005-SC964,7. P2-WOF-Ba.jpg,7,226.55872,393.86
7,2005-SC964,9. P3-WOF-Fr.jpg,8,1856.9963,501.24487
8,2009-RTx430BL,1. P1-WOF-Fr.jpg,1,2230.7058,556.39746
9,2009-RTx430BL,11. P3-WOF-Ba.jpg,2,1836.0139,506.24707
10,2009-RTx430BL,13. P4-WOF-Fr.jpg,3,2053.6865,380.88403
11,2009-RTx430BL,15. P4-WOF-Ba.jpg,4,212.46924,365.31628
12,2009-RTx430BL,3. P1-WOF-Ba.jpg,5,2225.515,504.53735
13,2009-RTx430BL,5. P2-WOF-Fr.jpg,6,2034.9855,479.32764
14,2009-RTx430BL,7. P2-WOF-Ba.jpg,7,1988.755,402.33325
15,2009-RTx430BL,9. P3-WOF-Fr.jpg,8,2205.9392,389.44043
16,2013-Tx7000,1. P1-WOF-Fr.jpg,1,2240.2356,636.83887
17,2013-Tx7000,11. P3-WOF-Ba.jpg,2,2335.489,622.83057
18,2013-Tx7000,13. P4-WOF-Fr.jpg,3,198.90723,343.36072
19,2013-Tx7000,15. P4-WOF-Ba.jpg,4,193.83118,357.65735
20,2013-Tx7000,3. P1-WOF-Ba.jpg,5,207.13623,341.78784
21,2013-Tx7000,5. P2-WOF-Fr.jpg,6,203.54321,344.34778
22,2013-Tx7000,7. P2-WOF-Ba.jpg,7,198.70703,377.65747
23,2013-Tx7000,9. P3-WOF-Fr.jpg,8,2234.2646,676.2224
