id,Plot,Pedigree,Range,Row,Pass,Rep,GT_Pan_Area_cm2,B_Box_Pan_Area_cm2,Lab_Pan_Area_cm2,Predict_Pan_Area_Pixel²,Mask_Pan_Area_cm2
2005-SC964,2005,SC964,2,6,2,1,132.386832,125.9587406,119.2849375,15499.42034,71.47738657
2009-RTx430BL,2009,RTx430BL,2,10,3,1,134.83844,136.637277,131.7440635,14985.0049,66.34928666
2013-Tx7000,2013,Tx7000,2,14,4,1,130.064256,199.7882965,217.8270038,15368.3383,91.67549736
2017-RLBK1,2017,RLBK1,2,18,5,1,65.80632,126.0720682,128.2536957,11945.51458,45.30321374
2021-SC326-6,2021,SC326-6,2,22,6,1,207.289908,230.295685,301.7182089,11716.55753,140.4815076
2025-RTx430,2025,RTx430,2,26,7,1,151.354536,179.2276516,181.8208809,18251.57201,104.9740089
3005-BTx635_DW2,3005,BTx635_DW2,3,6,2,1,117.41912,140.8402256,133.468674,17977.4202,88.37566343
3009-M10P0052_BTx623,3009,M10P0052_BTx623,3,10,3,1,139.548108,277.1074233,275.3819759,20702.52441,121.6524621
3013-SC56,3013,SC56,3,14,4,1,132.90296,141.3360468,188.2158458,18416.98966,78.70333945
3017-KS19,3017,KS19,3,18,5,1,179.483512,246.3854145,258.76105,8744.929114,133.0330187
3021-SC328,3021,SC328,3,22,6,1,228.38664,337.4359577,286.9208036,17019.36208,157.1172545
3025-2219-3_Stg2NIL,3025,2219-3_Stg2NIL,3,26,7,1,103.2256,134.0173497,128.8606854,14684.47607,88.65134604
4005-SN_72_PINK_KAFIR,4005,SN_72_PINK_KAFIR,4,6,2,1,160.386776,157.530646,129.3920159,14419.63822,66.48627726
4009-BTx615,4009,BTx615,4,10,3,1,129.032,167.4853841,182.1528913,12760.06849,87.39935477
4013-R11018,4013,R11018,4,14,4,1,149.03196,178.4796372,188.6526323,23291.54774,112.4775748
4017-BTx2752,4017,BTx2752,4,18,5,1,177.031904,200.4262618,188.4076,11492.1246,97.95376534
4021-6085-9_STG4NIL,4021,60859_STG4NIL,4,22,6,1,169.3545,169.3057351,144.3302626,15442.77349,96.73596336
5005-SC35_14E,5005,SC35_14E,5,6,2,1,96.386904,103.2130822,117.6831069,11701.99151,64.81675898
5009-R9188,5009,R9188,5,10,3,1,144.51584,138.2218717,155.357736,17102.13827,64.66870274
5013-RTx2536,5013,RTx2536,5,14,4,1,167.225472,164.0315731,167.2342963,17236.17137,104.7138407
5017BTx623_DW1,5017,BTx623_DW1,5,18,5,1,198.70928,295.1258363,286.9663171,18627.07326,117.6479396
5021-96CD635,5021,96CD635,5,22,6,1,153.290016,127.7244213,155.3711489,11901.27149,92.96338356
5025-BTx642_Tx7000NILStg1,5025,BTx642_Tx7000NILStg1,5,26,7,1,181.93512,195.019364,206.4743122,19712.73962,112.1489359
6005-BTx623,6005,BTx623,6,6,2,1,154.451304,167.8807791,173.4980964,16031.24769,96.21175279
6009-B10001,6009,B10001,6,10,3,1,201.28992,360.687409,427.9754626,21726.71176,116.8219471
6013-SC1154-14E,6013,SC1154-14E,6,14,4,1,152.838404,155.4166398,110.2121558,14161.00682,60.44620951
