id,image_name,Seed_Count
2005-SC964,9. P3-WOF-Fr.jpg,1815
2005-SC964,11. P3-WOF-Ba.jpg,1815
2009-RTx430BL,9. P3-WOF-Fr.jpg,865
2009-RTx430BL,11. P3-WOF-Ba.jpg,865
2013-Tx7000,9. P3-WOF-Fr.jpg,2274
2013-Tx7000,11. P3-WOF-Ba.jpg,2274
2017-RLBK1,9. P3-WOF-Fr.jpg,973
2017-RLBK1,11. P3-WOF-Ba.jpg,973
2021-SC326-6,9. P3-WOF-Fr.jpg,2640
2021-SC326-6,11. P3-WOF-Ba.jpg,2640
2025-RTx430,9. P3-WOF-Fr.jpg,867
2025-RTx430,11. P3-WOF-Ba.jpg,867
2029-RTx436,9. P3-WOF-Fr.jpg,2707
2029-RTx436,11. P3-WOF-Ba.jpg,2707
2033-R11018,9. P3-WOF-Fr.jpg,1573
2033-R11018,11. P3-WOF-Ba.jpg,1573
2037-2219-3_Stg2NIL,9. P3-WOF-Fr.jpg,1830
2037-2219-3_Stg2NIL,11. P3-WOF-Ba.jpg,1830
2041-RTx430BL,9. P3-WOF-Fr.jpg,1359
2041-RTx430BL,11. P3-WOF-Ba.jpg,1359
2045-SC35-14E,9. P3-WOF-Fr.jpg,189
2045-SC35-14E,11. P3-WOF-Ba.jpg,189
2049-BTx642_Tx7000,9. P3-WOF-Fr.jpg,2369
2049-BTx642_Tx7000,11. P3-WOF-Ba.jpg,2369
2053-BTx623,9. P3-WOF-Fr.jpg,1698
2053-BTx623,11. P3-WOF-Ba.jpg,1698
2057-Macia,9. P3-WOF-Fr.jpg,2080
2057-Macia,11. P3-WOF-Ba.jpg,2080
2061-SC283,9. P3-WOF-Fr.jpg,932
2061-SC283,11. P3-WOF-Ba.jpg,932
2065-SC56,9. P3-WOF-Fr.jpg,1336
2065-SC56,11. P3-WOF-Ba.jpg,1336
2069-6085-9,9. P3-WOF-Fr.jpg,2334
2069-6085-9,11. P3-WOF-Ba.jpg,2334
2073-SC328,9. P3-WOF-Fr.jpg,1832
2073-SC328,11. P3-WOF-Ba.jpg,1832
3005-BTx635_DW2,9. P3-WOF-Fr.jpg,1278
3005-BTx635_DW2,11. P3-WOF-Ba.jpg,1278
3009-M10P0052_BTx623,9. P3-WOF-Fr.jpg,2460
3009-M10P0052_BTx623,11. P3-WOF-Ba.jpg,2460
