id,image_name,Seed_Count
2005-SC964,5. P2-WOF-Fr.jpg,1436
2005-SC964,7. P2-WOF-Ba.jpg,1436
2009-RTx430BL,5. P2-WOF-Fr.jpg,869
2009-RTx430BL,7. P2-WOF-Ba.jpg,869
2013-Tx7000,5. P2-WOF-Fr.jpg,2613
2013-Tx7000,7. P2-WOF-Ba.jpg,2613
2017-RLBK1,5. P2-WOF-Fr.jpg,641
2017-RLBK1,7. P2-WOF-Ba.jpg,641
2021-SC326-6,5. P2-WOF-Fr.jpg,3462
2021-SC326-6,7. P2-WOF-Ba.jpg,3462
2025-RTx430,5. P2-WOF-Fr.jpg,1030
2025-RTx430,7. P2-WOF-Ba.jpg,1030
2029-RTx436,5. P2-WOF-Fr.jpg,2346
2029-RTx436,7. P2-WOF-Ba.jpg,2346
2033-R11018,5. P2-WOF-Fr.jpg,1045
2033-R11018,7. P2-WOF-Ba.jpg,1045
2037-2219-3_Stg2NIL,5. P2-WOF-Fr.jpg,1996
2037-2219-3_Stg2NIL,7. P2-WOF-Ba.jpg,1996
2041-RTx430BL,5. P2-WOF-Fr.jpg,1419
2041-RTx430BL,7. P2-WOF-Ba.jpg,1419
2045-SC35-14E,5. P2-WOF-Fr.jpg,465
2045-SC35-14E,7. P2-WOF-Ba.jpg,465
2049-BTx642_Tx7000,5. P2-WOF-Fr.jpg,1316
2049-BTx642_Tx7000,7. P2-WOF-Ba.jpg,1316
2053-BTx623,5. P2-WOF-Fr.jpg,1185
2053-BTx623,7. P2-WOF-Ba.jpg,1185
2057-Macia,5. P2-WOF-Fr.jpg,1606
2057-Macia,7. P2-WOF-Ba.jpg,1606
2061-SC283,5. P2-WOF-Fr.jpg,416
2061-SC283,7. P2-WOF-Ba.jpg,416
2065-SC56,5. P2-WOF-Fr.jpg,740
2065-SC56,7. P2-WOF-Ba.jpg,740
2069-6085-9,5. P2-WOF-Fr.jpg,1611
2069-6085-9,7. P2-WOF-Ba.jpg,1611
2073-SC328,5. P2-WOF-Fr.jpg,1864
2073-SC328,7. P2-WOF-Ba.jpg,1864
3005-BTx635_DW2,5. P2-WOF-Fr.jpg,1710
3005-BTx635_DW2,7. P2-WOF-Ba.jpg,1710
3009-M10P0052_BTx623,5. P2-WOF-Fr.jpg,1282
