id,plot,img_name,Mach_Count,Pan_Count,Reg_Count
2005_P1,2005-SC964,1. P1-WOF-Fr.jpg,2400,1389,2167
2005_P2,2005-SC964,5. P2-WOF-Fr.jpg,1436,952,1708
2005_P3,2005-SC964,9. P3-WOF-Fr.jpg,1815,1237,1941
2005_P4,2005-SC964,13. P4-WOF-Fr.jpg,1704,1526,2346
2009_P1,2009-RTx430BL,1. P1-WOF-Fr.jpg,604,791,1499
2009_P2,2009-RTx430BL,5. P2-WOF-Fr.jpg,869,760,1331
2009_P3,2009-RTx430BL,9. P3-WOF-Fr.jpg,865,631,1160
2009_P4,2009-RTx430BL,13. P4-WOF-Fr.jpg,1189,784,1246
2013_P1,2013-Tx7000,1. P1-WOF-Fr.jpg,2076,1305,1744
2013_P2,2013-Tx7000,5. P2-WOF-Fr.jpg,2613,1889,1986
2013_P3,2013-Tx7000,9. P3-WOF-Fr.jpg,2274,1487,1936
2013_P4,2013-Tx7000,13. P4-WOF-Fr.jpg,2135,1609,1924
2017_P1,2017-RLBK1,1. P1-WOF-Fr.jpg,311,294,1127
2017_P2,2017-RLBK1,5. P2-WOF-Fr.jpg,641,376,1137
2017_P3,2017-RLBK1,9. P3-WOF-Fr.jpg,973,748,1657
2017_P4,2017-RLBK1,13. P4-WOF-Fr.jpg,859,523,1172
2021_P1,2021-SC326-6,1. P1-WOF-Fr.jpg,3389,1123,2019
2021_P2,2021-SC326-6,5. P2-WOF-Fr.jpg,3462,1451,2003
2021_P3,2021-SC326-6,9. P3-WOF-Fr.jpg,2640,1354,2021
2021_P4,2021-SC326-6,13. P4-WOF-Fr.jpg,1980,1205,1431
2025_P1,2025-RTx430,1. P1-WOF-Fr.jpg,1197,942,1344
2025_P2,2025-RTx430,5. P2-WOF-Fr.jpg,1030,1022,1496
2025_P3,2025-RTx430,9. P3-WOF-Fr.jpg,867,943,1441
2025_P4,2025-RTx430,13. P4-WOF-Fr.jpg,1248,1105,1418
2029_P1,2029-RTx436,1. P1-WOF-Fr.jpg,3370,1844,2570
2029_P2,2029-RTx436,5. P2-WOF-Fr.jpg,2346,1698,2204
2029_P3,2029-RTx436,9. P3-WOF-Fr.jpg,2707,1918,2188
2029_P4,2029-RTx436,13. P4-WOF-Fr.jpg,2359,1295,1474
2033_P1,2033-R11018,1. P1-WOF-Fr.jpg,1024,952,2079
2033_P2,2033-R11018,5. P2-WOF-Fr.jpg,1045,1145,2077
2033_P3,2033-R11018,9. P3-WOF-Fr.jpg,1573,1342,2081
2033_P4,2033-R11018,13. P4-WOF-Fr.jpg,1084,733,1221
2037_P1,2037-2219-3_Stg2NIL,1. P1-WOF-Fr.jpg,2033,803,1523
2037_P2,2037-2219-3_Stg2NIL,5. P2-WOF-Fr.jpg,1996,1691,2319
2037_P3,2037-2219-3_Stg2NIL,9. P3-WOF-Fr.jpg,1830,1640,2501
2037_P4,2037-2219-3_Stg2NIL,13. P4-WOF-Fr.jpg,2065,1535,2592
2041_P1,2041-RTx430BL,1. P1-WOF-Fr.jpg,1359,968,1237
2041_P2,2041-RTx430BL,5. P2-WOF-Fr.jpg,1419,911,1306
2041_P3,2041-RTx430BL,9. P3-WOF-Fr.jpg,1359,780,1251
2041_P4,2041-RTx430BL,13. P4-WOF-Fr.jpg,548,633,1158
2045_P1,2045-SC35-14E,1. P1-WOF-Fr.jpg,431,485,1094
2045_P2,2045-SC35-14E,5. P2-WOF-Fr.jpg,465,408,1064
2045_P3,2045-SC35-14E,9. P3-WOF-Fr.jpg,189,339,1199
2045_P4,2045-SC35-14E,13. P4-WOF-Fr.jpg,338,650,1408
2049_P1,2049-BTx642_Tx7000,1. P1-WOF-Fr.jpg,1127,1477,1837
2049_P2,2049-BTx642_Tx7000,5. P2-WOF-Fr.jpg,1316,1437,1826
2049_P3,2049-BTx642_Tx7000,9. P3-WOF-Fr.jpg,2369,2016,2286
2049_P4,2049-BTx642_Tx7000,13. P4-WOF-Fr.jpg,1784,1540,2252
2053_P1,2053-BTx623,1. P1-WOF-Fr.jpg,1415,1343,2129
2053_P2,2053-BTx623,5. P2-WOF-Fr.jpg,1185,972,1703
2053_P3,2053-BTx623,9. P3-WOF-Fr.jpg,1698,1300,2077
2053_P4,2053-BTx623,13. P4-WOF-Fr.jpg,1525,1095,1900
2057_P1,2057-Macia,1. P1-WOF-Fr.jpg,1813,1014,1775
2057_P2,2057-Macia,5. P2-WOF-Fr.jpg,1606,1349,1971
2057_P3,2057-Macia,9. P3-WOF-Fr.jpg,2080,1449,2080
2057_P4,2057-Macia,13. P4-WOF-Fr.jpg,1178,1399,2083
2061_P1,2061-SC283,1. P1-WOF-Fr.jpg,255,196,1113
2061_P2,2061-SC283,5. P2-WOF-Fr.jpg,416,580,1503
2061_P3,2061-SC283,9. P3-WOF-Fr.jpg,932,660,1489
2065_P1,2065-SC56,1. P1-WOF-Fr.jpg,1280,1118,1365
2065_P2,2065-SC56,5. P2-WOF-Fr.jpg,740,621,1019
2065_P3,2065-SC56,9. P3-WOF-Fr.jpg,1336,1138,1391
2065_P4,2065-SC56,13. P4-WOF-Fr.jpg,1124,999,1290
2069_P1,2069-6085-9,1. P1-WOF-Fr.jpg,2057,1640,1234
2069_P2,2069-6085-9,5. P2-WOF-Fr.jpg,1611,1538,1703
2069_P3,2069-6085-9,9. P3-WOF-Fr.jpg,2334,1748,1681
2069_P4,2069-6085-9,13. P4-WOF-Fr.jpg,1274,2367,2240
2073_P1,2073-SC328,1. P1-WOF-Fr.jpg,1757,1333,1888
2073_P2,2073-SC328,5. P2-WOF-Fr.jpg,1864,1292,1976
2073_P3,2073-SC328,9. P3-WOF-Fr.jpg,1832,1486,2314
2073_P4,2073-SC328,13. P4-WOF-Fr.jpg,2084,1527,2337
3005_P1,3005-BTx635_DW2,1. P1-WOF-Fr.jpg,1905,1346,2187
3005_P2,3005-BTx635_DW2,5. P2-WOF-Fr.jpg,1710,1378,1637
3005_P3,3005-BTx635_DW2,9. P3-WOF-Fr.jpg,1278,988,1875
3005_P4,3005-BTx635_DW2,13. P4-WOF-Fr.jpg,1590,970,1738
3009_P1,3009-M10P0052_BTx623,1. P1-WOF-Fr.jpg,2255,1407,1834
3009_P2,3009-M10P0052_BTx623,5. P2-WOF-Fr.jpg,1282,1055,1481
3009_P3,3009-M10P0052_BTx623,9. P3-WOF-Fr.jpg,2460,1323,1924
3009_P4,3009-M10P0052_BTx623,13. P4-WOF-Fr.jpg,2241,1052,1662
3013_P1,3013-SC56,1. P1-WOF-Fr.jpg,1306,1049,1683
3013_P2,3013-SC56,5. P2-WOF-Fr.jpg,1162,794,1781
