id,plot_x,img_name_x,Mach_Count_x,Pan_Count,Reg_Count,plot_y,img_name_y,Mach_Count_y,Spr_Count_Adj
2005_P1,2005-SC964,1. P1-WOF-Fr.jpg,2400,1389,2167,2005-SC964,1. P1-WOF-Fr.jpg,2400.0,2449.0
2005_P2,2005-SC964,5. P2-WOF-Fr.jpg,1436,952,1708,2005-SC964,5. P2-WOF-Fr.jpg,1436.0,1611.0
2005_P3,2005-SC964,9. P3-WOF-Fr.jpg,1815,1237,1941,2005-SC964,9. P3-WOF-Fr.jpg,1815.0,1917.0
2005_P4,2005-SC964,13. P4-WOF-Fr.jpg,1704,1526,2346,2005-SC964,13. P4-WOF-Fr.jpg,1704.0,2046.0
2009_P1,2009-RTx430BL,1. P1-WOF-Fr.jpg,604,791,1499,2009-RTx430BL,1. P1-WOF-Fr.jpg,604.0,676.0
2009_P2,2009-RTx430BL,5. P2-WOF-Fr.jpg,869,760,1331,2009-RTx430BL,5. P2-WOF-Fr.jpg,869.0,996.0
2009_P3,2009-RTx430BL,9. P3-WOF-Fr.jpg,865,631,1160,2009-RTx430BL,9. P3-WOF-Fr.jpg,865.0,934.0
2009_P4,2009-RTx430BL,13. P4-WOF-Fr.jpg,1189,784,1246,2009-RTx430BL,13. P4-WOF-Fr.jpg,1189.0,1468.0
2013_P1,2013-Tx7000,1. P1-WOF-Fr.jpg,2076,1305,1744,2013-Tx7000,1. P1-WOF-Fr.jpg,2076.0,2086.0
2013_P2,2013-Tx7000,5. P2-WOF-Fr.jpg,2613,1889,1986,2013-Tx7000,5. P2-WOF-Fr.jpg,2613.0,2794.0
2013_P3,2013-Tx7000,9. P3-WOF-Fr.jpg,2274,1487,1936,2013-Tx7000,9. P3-WOF-Fr.jpg,2274.0,2456.0
2013_P4,2013-Tx7000,13. P4-WOF-Fr.jpg,2135,1609,1924,2013-Tx7000,13. P4-WOF-Fr.jpg,2135.0,2273.0
2017_P1,2017-RLBK1,1. P1-WOF-Fr.jpg,311,294,1127,2017-RLBK1,1. P1-WOF-Fr.jpg,311.0,394.0
2017_P2,2017-RLBK1,5. P2-WOF-Fr.jpg,641,376,1137,2017-RLBK1,5. P2-WOF-Fr.jpg,641.0,421.0
2017_P3,2017-RLBK1,9. P3-WOF-Fr.jpg,973,748,1657,2017-RLBK1,9. P3-WOF-Fr.jpg,973.0,1126.0
2017_P4,2017-RLBK1,13. P4-WOF-Fr.jpg,859,523,1172,2017-RLBK1,13. P4-WOF-Fr.jpg,859.0,966.0
2021_P1,2021-SC326-6,1. P1-WOF-Fr.jpg,3389,1123,2019,2021-SC326-6,1. P1-WOF-Fr.jpg,3389.0,2876.0
2021_P2,2021-SC326-6,5. P2-WOF-Fr.jpg,3462,1451,2003,2021-SC326-6,5. P2-WOF-Fr.jpg,3462.0,3357.0
2021_P3,2021-SC326-6,9. P3-WOF-Fr.jpg,2640,1354,2021,2021-SC326-6,9. P3-WOF-Fr.jpg,2640.0,2917.0
