id,plot,img_name,Mach_Count,Pan_Count,Reg_Count,Spr_Count,Spr_Count_Adj
2005_P1,2005-SC964,1. P1-WOF-Fr.jpg,2400,1389,2167,2501,2449
2005_P2,2005-SC964,5. P2-WOF-Fr.jpg,1436,952,1708,1517,1611
2005_P3,2005-SC964,9. P3-WOF-Fr.jpg,1815,1237,1941,2014,1917
2005_P4,2005-SC964,13. P4-WOF-Fr.jpg,1704,1526,2346,2095,2046
2009_P1,2009-RTx430BL,1. P1-WOF-Fr.jpg,604,791,1499,760,676
2009_P2,2009-RTx430BL,5. P2-WOF-Fr.jpg,869,760,1331,995,996
2009_P3,2009-RTx430BL,9. P3-WOF-Fr.jpg,865,631,1160,1364,934
2009_P4,2009-RTx430BL,13. P4-WOF-Fr.jpg,1189,784,1246,1484,1468
2013_P1,2013-Tx7000,1. P1-WOF-Fr.jpg,2076,1305,1744,2016,2086
2013_P2,2013-Tx7000,5. P2-WOF-Fr.jpg,2613,1889,1986,2699,2794
2013_P3,2013-Tx7000,9. P3-WOF-Fr.jpg,2274,1487,1936,2192,2456
2013_P4,2013-Tx7000,13. P4-WOF-Fr.jpg,2135,1609,1924,2069,2273
2017_P1,2017-RLBK1,1. P1-WOF-Fr.jpg,311,294,1127,598,394
2017_P2,2017-RLBK1,5. P2-WOF-Fr.jpg,641,376,1137,448,421
2017_P3,2017-RLBK1,9. P3-WOF-Fr.jpg,973,748,1657,781,1126
2017_P4,2017-RLBK1,13. P4-WOF-Fr.jpg,859,523,1172,919,966
2021_P1,2021-SC326-6,1. P1-WOF-Fr.jpg,3389,1123,2019,3067,2876
2021_P2,2021-SC326-6,5. P2-WOF-Fr.jpg,3462,1451,2003,3404,3357
2021_P3,2021-SC326-6,9. P3-WOF-Fr.jpg,2640,1354,2021,2425,2917
2021_P4,2021-SC326-6,13. P4-WOF-Fr.jpg,1980,1205,1431,1737,2227
2025_P1,2025-RTx430,1. P1-WOF-Fr.jpg,1197,942,1344,1634,1419
2025_P2,2025-RTx430,5. P2-WOF-Fr.jpg,1030,1022,1496,1139,1333
2025_P3,2025-RTx430,9. P3-WOF-Fr.jpg,867,943,1441,1055,1122
2025_P4,2025-RTx430,13. P4-WOF-Fr.jpg,1248,1105,1418,1086,1539
2029_P1,2029-RTx436,1. P1-WOF-Fr.jpg,3370,1844,2570,3146,3360
2029_P2,2029-RTx436,5. P2-WOF-Fr.jpg,2346,1698,2204,2374,2323
2029_P3,2029-RTx436,9. P3-WOF-Fr.jpg,2707,1918,2188,2435,2804
2029_P4,2029-RTx436,13. P4-WOF-Fr.jpg,2359,1295,1474,2440,2675
2033_P1,2033-R11018,1. P1-WOF-Fr.jpg,1024,952,2079,1057,1132
2033_P2,2033-R11018,5. P2-WOF-Fr.jpg,1045,1145,2077,1139,1151
2033_P3,2033-R11018,9. P3-WOF-Fr.jpg,1573,1342,2081,1543,1991
2033_P4,2033-R11018,13. P4-WOF-Fr.jpg,1084,733,1221,1614,1391
2037_P1,2037-2219-3_Stg2NIL,1. P1-WOF-Fr.jpg,2033,803,1523,2071,1978
2037_P2,2037-2219-3_Stg2NIL,5. P2-WOF-Fr.jpg,1996,1691,2319,1824,2153
2037_P3,2037-2219-3_Stg2NIL,9. P3-WOF-Fr.jpg,1830,1640,2501,2063,1799
2037_P4,2037-2219-3_Stg2NIL,13. P4-WOF-Fr.jpg,2065,1535,2592,1852,2007
2041_P1,2041-RTx430BL,1. P1-WOF-Fr.jpg,1359,968,1237,1520,1527
2041_P2,2041-RTx430BL,5. P2-WOF-Fr.jpg,1419,911,1306,1128,1137
2041_P3,2041-RTx430BL,9. P3-WOF-Fr.jpg,1359,780,1251,1204,1123
2041_P4,2041-RTx430BL,13. P4-WOF-Fr.jpg,548,633,1158,799,643
2045_P1,2045-SC35-14E,1. P1-WOF-Fr.jpg,431,485,1094,807,447
2045_P2,2045-SC35-14E,5. P2-WOF-Fr.jpg,465,408,1064,720,750
2045_P3,2045-SC35-14E,9. P3-WOF-Fr.jpg,189,339,1199,417,254
2045_P4,2045-SC35-14E,13. P4-WOF-Fr.jpg,338,650,1408,511,282
2049_P1,2049-BTx642_Tx7000,1. P1-WOF-Fr.jpg,1127,1477,1837,968,1572
2049_P2,2049-BTx642_Tx7000,5. P2-WOF-Fr.jpg,1316,1437,1826,1291,1392
2049_P3,2049-BTx642_Tx7000,9. P3-WOF-Fr.jpg,2369,2016,2286,2277,2385
2049_P4,2049-BTx642_Tx7000,13. P4-WOF-Fr.jpg,1784,1540,2252,2070,1561
2053_P1,2053-BTx623,1. P1-WOF-Fr.jpg,1415,1343,2129,1597,1415
2053_P2,2053-BTx623,5. P2-WOF-Fr.jpg,1185,972,1703,961,1346
2053_P3,2053-BTx623,9. P3-WOF-Fr.jpg,1698,1300,2077,1844,1541
2053_P4,2053-BTx623,13. P4-WOF-Fr.jpg,1525,1095,1900,1545,1701
2057_P1,2057-Macia,1. P1-WOF-Fr.jpg,1813,1014,1775,1740,1756
2057_P2,2057-Macia,5. P2-WOF-Fr.jpg,1606,1349,1971,1821,1636
2057_P3,2057-Macia,9. P3-WOF-Fr.jpg,2080,1449,2080,2327,1992
2057_P4,2057-Macia,13. P4-WOF-Fr.jpg,1178,1399,2083,1508,1697
2061_P1,2061-SC283,1. P1-WOF-Fr.jpg,255,196,1113,327,496
2061_P2,2061-SC283,5. P2-WOF-Fr.jpg,416,580,1503,578,424
2061_P3,2061-SC283,9. P3-WOF-Fr.jpg,932,660,1489,1167,1268
2065_P1,2065-SC56,1. P1-WOF-Fr.jpg,1280,1118,1365,1607,1156
2065_P2,2065-SC56,5. P2-WOF-Fr.jpg,740,621,1019,830,971
2065_P3,2065-SC56,9. P3-WOF-Fr.jpg,1336,1138,1391,1418,1054
2065_P4,2065-SC56,13. P4-WOF-Fr.jpg,1124,999,1290,1042,996
2069_P1,2069-6085-9,1. P1-WOF-Fr.jpg,2057,1640,1234,1850,2136
2069_P2,2069-6085-9,5. P2-WOF-Fr.jpg,1611,1538,1703,1867,1852
2069_P3,2069-6085-9,9. P3-WOF-Fr.jpg,2334,1748,1681,2619,2376
2069_P4,2069-6085-9,13. P4-WOF-Fr.jpg,1274,2367,2240,1387,1378
2073_P1,2073-SC328,1. P1-WOF-Fr.jpg,1757,1333,1888,2036,1768
2073_P2,2073-SC328,5. P2-WOF-Fr.jpg,1864,1292,1976,1999,1621
2073_P3,2073-SC328,9. P3-WOF-Fr.jpg,1832,1486,2314,1763,1748
2073_P4,2073-SC328,13. P4-WOF-Fr.jpg,2084,1527,2337,2193,2025
3005_P1,3005-BTx635_DW2,1. P1-WOF-Fr.jpg,1905,1346,2187,2276,2007
3005_P2,3005-BTx635_DW2,5. P2-WOF-Fr.jpg,1710,1378,1637,1780,1809
3005_P3,3005-BTx635_DW2,9. P3-WOF-Fr.jpg,1278,988,1875,1726,1370
3005_P4,3005-BTx635_DW2,13. P4-WOF-Fr.jpg,1590,970,1738,1144,1686
3009_P1,3009-M10P0052_BTx623,1. P1-WOF-Fr.jpg,2255,1407,1834,2439,2373
3009_P2,3009-M10P0052_BTx623,5. P2-WOF-Fr.jpg,1282,1055,1481,1427,1465
3009_P3,3009-M10P0052_BTx623,9. P3-WOF-Fr.jpg,2460,1323,1924,2391,2626
3009_P4,3009-M10P0052_BTx623,13. P4-WOF-Fr.jpg,2241,1052,1662,2277,2322
3013_P1,3013-SC56,1. P1-WOF-Fr.jpg,1306,1049,1683,1022,1408
3013_P2,3013-SC56,5. P2-WOF-Fr.jpg,1162,794,1781,1257,1264
3013_P3,3013-SC56,9. P3-WOF-Fr.jpg,1316,960,1554,1512,1332
3013_P4,3013-SC56,13. P4-WOF-Fr.jpg,1509,1204,1673,1913,1481
3017_P1,3017-KS19,1. P1-WOF-Fr.jpg,2108,815,1361,2034,2040
3017_P2,3017-KS19,5. P2-WOF-Fr.jpg,2053,1079,1590,1926,1907
3017_P3,3017-KS19,9. P3-WOF-Fr.jpg,2504,685,1522,2388,2306
3017_P4,3017-KS19,13. P4-WOF-Fr.jpg,1678,1294,1673,1947,1752
3021_P1,3021-SC328,1. P1-WOF-Fr.jpg,1698,829,1122,1845,1870
3021_P2,3021-SC328,5. P2-WOF-Fr.jpg,1681,1211,1283,1653,1909
3021_P3,3021-SC328,9. P3-WOF-Fr.jpg,2097,1380,1310,2236,2319
3021_P4,3021-SC328,13. P4-WOF-Fr.jpg,1650,991,1358,1755,1772
3025_P1,3025-2219-3_Stg2NIL,1. P1-WOF-Fr.jpg,1942,1260,2020,2192,2131
3025_P2,3025-2219-3_Stg2NIL,5. P2-WOF-Fr.jpg,2270,1852,2692,2140,2473
3025_P3,3025-2219-3_Stg2NIL,9. P3-WOF-Fr.jpg,1892,1232,2112,1882,2056
3025_P4,3025-2219-3_Stg2NIL,13. P4-WOF-Fr.jpg,1757,1060,1960,1749,1975
3029_P1,3029-KS19,1. P1-WOF-Fr.jpg,1013,1107,1544,870,1388
3029_P2,3029-KS19,5. P2-WOF-Fr.jpg,1118,1251,1664,1324,1334
3029_P3,3029-KS19,9. P3-WOF-Fr.jpg,1001,1032,1603,1213,798
3029_P4,3029-KS19,13. P4-WOF-Fr.jpg,758,1467,1671,946,1011
3033_P2,3033-P898012,5. P2-WOF-Fr.jpg,1001,887,1662,1112,1081
3033_P4,3033-P898012,13. P4-WOF-Fr.jpg,1064,966,1662,925,1077
3037_P1,3037-RTx430,1. P1-WOF-Fr.jpg,1015,930,1805,1086,1298
3037_P2,3037-RTx430,5. P2-WOF-Fr.jpg,1392,1397,1527,1436,1718
3037_P3,3037-RTx430,9. P3-WOF-Fr.jpg,852,917,1152,863,1219
3037_P4,3037-RTx430,13. P4-WOF-Fr.jpg,1669,944,1273,1718,1579
3041_P1,3041-B4R_BTx406_Rio,1. P1-WOF-Fr.jpg,1753,989,1575,1909,1762
3041_P2,3041-B4R_BTx406_Rio,5. P2-WOF-Fr.jpg,1705,944,1303,2171,1851
3041_P3,3041-B4R_BTx406_Rio,9. P3-WOF-Fr.jpg,1408,931,1316,1556,1721
3041_P4,3041-B4R_BTx406_Rio,13. P4-WOF-Fr.jpg,2162,1038,1483,2241,2090
3045_P1,3045-SC283,1. P1-WOF-Fr.jpg,633,256,1159,819,796
3045_P2,3045-SC283,5. P2-WOF-Fr.jpg,1000,662,1233,765,932
3045_P3,3045-SC283,9. P3-WOF-Fr.jpg,1010,615,1228,1162,922
3045_P4,3045-SC283,13. P4-WOF-Fr.jpg,486,264,1254,716,870
3049_P1,3049-BTx2752,1. P1-WOF-Fr.jpg,2072,2008,2529,2614,2387
3049_P2,3049-BTx2752,5. P2-WOF-Fr.jpg,1743,1917,2636,1778,1802
3049_P3,3049-BTx2752,9. P3-WOF-Fr.jpg,2191,2123,2981,2276,2420
3053_P1,3053-SC964,1. P1-WOF-Fr.jpg,1651,1024,1471,1728,1810
3053_P2,3053-SC964,5. P2-WOF-Fr.jpg,813,774,1554,753,861
3053_P3,3053-SC964,9. P3-WOF-Fr.jpg,1808,1316,1774,2109,1949
3053_P4,3053-SC964,13. P4-WOF-Fr.jpg,1441,1157,1683,1704,1865
3057_P1,3057-1790E_SC56_SC33,1. P1-WOF-Fr.jpg,494,525,1151,873,703
3057_P2,3057-1790E_SC56_SC33,5. P2-WOF-Fr.jpg,567,458,1246,589,1097
3057_P3,3057-1790E_SC56_SC33,9. P3-WOF-Fr.jpg,714,631,1114,1194,368
3057_P4,3057-1790E_SC56_SC33,13. P4-WOF-Fr.jpg,618,494,1075,533,989
3061_P1,3061-RTx2536,1. P1-WOF-Fr.jpg,2725,1483,1183,2807,2705
3061_P2,3061-RTx2536,5. P2-WOF-Fr.jpg,1917,1047,2017,2421,1910
3061_P3,3061-RTx2536,9. P3-WOF-Fr.jpg,1948,1225,1260,1795,2017
3061_P4,3061-RTx2536,13. P4-WOF-Fr.jpg,1909,1089,1348,1848,1556
3065_P1,3065-RTx430,1. P1-WOF-Fr.jpg,699,1006,1524,913,847
