id,plot,img_name,Mach_Count,Predicted_Spr_Count,Spr_Count_Predicted
2029_P1,2029-RTx436,1. P1-WOF-Fr.jpg,3370,3258,3360
2029_P2,2029-RTx436,5. P2-WOF-Fr.jpg,2346,2351,2323
2029_P3,2029-RTx436,9. P3-WOF-Fr.jpg,2707,2671,2804
2029_P4,2029-RTx436,13. P4-WOF-Fr.jpg,2359,2363,2675
2033_P1,2033-R11018,1. P1-WOF-Fr.jpg,1024,1180,1132
2033_P2,2033-R11018,5. P2-WOF-Fr.jpg,1045,1199,1151
2033_P3,2033-R11018,9. P3-WOF-Fr.jpg,1573,1666,1991
2033_P4,2033-R11018,13. P4-WOF-Fr.jpg,1084,1233,1391
2037_P1,2037-2219-3_Stg2NIL,1. P1-WOF-Fr.jpg,2033,2074,1978
2037_P2,2037-2219-3_Stg2NIL,5. P2-WOF-Fr.jpg,1996,2041,2153
2037_P3,2037-2219-3_Stg2NIL,9. P3-WOF-Fr.jpg,1830,1894,1799
2037_P4,2037-2219-3_Stg2NIL,13. P4-WOF-Fr.jpg,2065,2102,2007
2041_P1,2041-RTx430BL,1. P1-WOF-Fr.jpg,1359,1477,1527
2041_P2,2041-RTx430BL,5. P2-WOF-Fr.jpg,1419,1530,1137
2041_P3,2041-RTx430BL,9. P3-WOF-Fr.jpg,1359,1477,1123
2041_P4,2041-RTx430BL,13. P4-WOF-Fr.jpg,548,759,643
2045_P1,2045-SC35-14E,1. P1-WOF-Fr.jpg,431,655,447
2045_P2,2045-SC35-14E,5. P2-WOF-Fr.jpg,465,685,750
2045_P3,2045-SC35-14E,9. P3-WOF-Fr.jpg,189,441,254
2045_P4,2045-SC35-14E,13. P4-WOF-Fr.jpg,338,572,282
2049_P1,2049-BTx642_Tx7000,1. P1-WOF-Fr.jpg,1127,1271,1572
2049_P2,2049-BTx642_Tx7000,5. P2-WOF-Fr.jpg,1316,1439,1392
2049_P3,2049-BTx642_Tx7000,9. P3-WOF-Fr.jpg,2369,2372,2385
2049_P4,2049-BTx642_Tx7000,13. P4-WOF-Fr.jpg,1784,1853,1561
2053_P1,2053-BTx623,1. P1-WOF-Fr.jpg,1415,1527,1415
2053_P2,2053-BTx623,5. P2-WOF-Fr.jpg,1185,1323,1346
2053_P3,2053-BTx623,9. P3-WOF-Fr.jpg,1698,1777,1541
2053_P4,2053-BTx623,13. P4-WOF-Fr.jpg,1525,1624,1701
2057_P1,2057-Macia,1. P1-WOF-Fr.jpg,1813,1879,1756
2057_P2,2057-Macia,5. P2-WOF-Fr.jpg,1606,1696,1636
2057_P3,2057-Macia,9. P3-WOF-Fr.jpg,2080,2116,1992
2057_P4,2057-Macia,13. P4-WOF-Fr.jpg,1178,1317,1697
2061_P1,2061-SC283,1. P1-WOF-Fr.jpg,255,499,496
2061_P2,2061-SC283,5. P2-WOF-Fr.jpg,416,642,424
2061_P3,2061-SC283,9. P3-WOF-Fr.jpg,932,1099,1268
2065_P1,2065-SC56,1. P1-WOF-Fr.jpg,1280,1407,1156
2065_P2,2065-SC56,5. P2-WOF-Fr.jpg,740,929,971
2065_P3,2065-SC56,9. P3-WOF-Fr.jpg,1336,1457,1054
2065_P4,2065-SC56,13. P4-WOF-Fr.jpg,1124,1269,996
2069_P1,2069-6085-9,1. P1-WOF-Fr.jpg,2057,2095,2136
2069_P2,2069-6085-9,5. P2-WOF-Fr.jpg,1611,1700,1852
2069_P3,2069-6085-9,9. P3-WOF-Fr.jpg,2334,2341,2376
2069_P4,2069-6085-9,13. P4-WOF-Fr.jpg,1274,1402,1378
2073_P1,2073-SC328,1. P1-WOF-Fr.jpg,1757,1829,1768
2073_P2,2073-SC328,5. P2-WOF-Fr.jpg,1864,1924,1621
