plot,id,img_name,Mach_Count,Spr_Count_Adj
2005-SC964,2005_P1,1. P1-WOF-Fr.jpg,2400,2449
2005-SC964,2005_P2,5. P2-WOF-Fr.jpg,1436,1611
2005-SC964,2005_P3,9. P3-WOF-Fr.jpg,1815,1917
2005-SC964,2005_P4,13. P4-WOF-Fr.jpg,1704,2046
2009-RTx430BL,2009_P1,1. P1-WOF-Fr.jpg,604,676
2009-RTx430BL,2009_P2,5. P2-WOF-Fr.jpg,869,996
2009-RTx430BL,2009_P3,9. P3-WOF-Fr.jpg,865,934
2009-RTx430BL,2009_P4,13. P4-WOF-Fr.jpg,1189,1468
2013-Tx7000,2013_P1,1. P1-WOF-Fr.jpg,2076,2086
2013-Tx7000,2013_P2,5. P2-WOF-Fr.jpg,2613,2794
2013-Tx7000,2013_P3,9. P3-WOF-Fr.jpg,2274,2456
2013-Tx7000,2013_P4,13. P4-WOF-Fr.jpg,2135,2273
2017-RLBK1,2017_P1,1. P1-WOF-Fr.jpg,311,394
2017-RLBK1,2017_P2,5. P2-WOF-Fr.jpg,641,421
2017-RLBK1,2017_P3,9. P3-WOF-Fr.jpg,973,1126
2017-RLBK1,2017_P4,13. P4-WOF-Fr.jpg,859,966
2021-SC326-6,2021_P1,1. P1-WOF-Fr.jpg,3389,2876
2021-SC326-6,2021_P2,5. P2-WOF-Fr.jpg,3462,3357
2021-SC326-6,2021_P3,9. P3-WOF-Fr.jpg,2640,2917
2021-SC326-6,2021_P4,13. P4-WOF-Fr.jpg,1980,2227
2025-RTx430,2025_P1,1. P1-WOF-Fr.jpg,1197,1419
2025-RTx430,2025_P2,5. P2-WOF-Fr.jpg,1030,1333
2025-RTx430,2025_P3,9. P3-WOF-Fr.jpg,867,1122
2025-RTx430,2025_P4,13. P4-WOF-Fr.jpg,1248,1539
3005-BTx635_DW2,3005_P1,1. P1-WOF-Fr.jpg,1905,2007
3005-BTx635_DW2,3005_P2,5. P2-WOF-Fr.jpg,1710,1809
3005-BTx635_DW2,3005_P3,9. P3-WOF-Fr.jpg,1278,1370
3005-BTx635_DW2,3005_P4,13. P4-WOF-Fr.jpg,1590,1686
3009-M10P0052_BTx623,3009_P1,1. P1-WOF-Fr.jpg,2255,2373
3009-M10P0052_BTx623,3009_P2,5. P2-WOF-Fr.jpg,1282,1465
3009-M10P0052_BTx623,3009_P3,9. P3-WOF-Fr.jpg,2460,2626
