id,Plot,Pedigree,Rep,Image_Plot,Image,Image_id,Rep,Length,Width,Area_Pixel,Area_mm2,pixels_per_mm
2005-SC964,2005,SC964,1,2005,2005_1,2005_2005_1,1,622,303,188466,1250,12.44
2009-RTx430BL,2009,RTx430BL,1,2009,2009_1,2009_2009_1,1,867,424,367608,1250,17.34
2013-Tx7000,2013,Tx7000,1,2013,2013_1,2013_2013_1,1,778,380,295640,1250,15.56
2017-RLBK1,2017,RLBK1,1,2017,2017_1,2017_2017_1,1,930,461,428730,1250,18.6
2021-SC326-6,2021,SC326-6,1,2021,2021_1,2021_2021_1,1,794,400,317600,1250,15.88
2025-RTx430,2025,RTx430,1,2025,2025_1,2025_2025_1,1,847,427,361669,1250,16.94
3005-BTx635_DW2,3005,BTx635_DW2,1,3005,3005_1,3005_3005_1,1,835,420,350700,1250,16.7
3009-M10P0052_BTx623,3009,M10P0052_BTx623,1,3009,3009_1,3009_3009_1,1,778,370,287860,1250,15.56
3013-SC56,3013,SC56,1,3013,3013_1,3013_3013_1,1,837,409,342333,1250,16.74
3017-KS19,3017,KS19,1,3017,3017_1,3017_3017_1,1,824,411,338664,1250,16.48
3021-SC348,3021,SC348,1,3021,3021_1,3021_3021_1,1,747,371,277137,1250,14.94
3025-2219-3_Stg2NIL,3025,2219-3_Stg2NIL,1,3025,3025_1,3025_3025_1,1,776,389,301864,1250,15.52
4005-SN72_PINK_KAFIR,4005,SN72_PINK_KAFIR,1,4005,4005_1,4005_4005_1,1,784,379,297136,1250,15.68
4009-BTx615,4009,BTx615,1,4009,4009_1,4009_4009_1,1,777,361,280497,1250,15.54
4013-R11018,4013,R11018,1,4013,4013_1,4013_4013_1,1,662,324,214488,1250,13.24
4017-BTx2752,4017,BTx2752,1,4017,4017_1,4017_4017_1,1,698,349,243602,1250,13.96
4021-6085-9_Stg4NIL,4021,6085-9_Stg4NIL,1,4021,4021_1,4021_4021_1,1,700,330,231000,1250,14
4025-RTx436,4025,RTx436,1,4025,4025_1,4025_4025_1,1,696,356,247776,1250,13.92
5005-SC35_14E,5005,SC35_14E,1,5005,5005_1,5005_5005_1,1,732,357,261324,1250,14.64
5009-R9188,5009,R9188,1,5009,5009_1,5009_5009_1,1,672,335,225120,1250,13.44
5013-RTx2536,5013,RTx2536,1,5013,5013_1,5013_5013_1,1,660,321,211860,1250,13.2
5017BTx623_DW1,5017,BTx623_DW1,1,5017,5017_1,5017_5017_1,1,660,332,219120,1250,13.2
5021-96CD635,5021,96CD635,1,5021,5021_1,5021_5021_1,1,589,298,175522,1250,11.78
5025-BTx642_Tx7000NILStg1,5025,BTx642_Tx7000NILStg1,1,5025,5025_1,5025_5025_1,1,601,300,180300,1250,12.02
6005-BTx623,6005,BTx623,1,6005,6005_1,6005_6005_1,1,626,303,189678,1250,12.52
6009-B10001,6009,B10001,1,6009,6009_1,6009_6009_1,1,570,292,166440,1250,11.4
6013-SC1154-14E,6013,SC1154-14E,1,6013,6013_1,6013_6013_1,1,652,308,200816,1250,13.04
6017-P898012,6017,P898012,1,6017,6017_1,6017_6017_1,1,698,348,242904,1250,13.96
6021-B4R_BTx406_RIO,6021,B4R_BTx406_RIO,1,6021,6021_1,6021_6021_1,1,745,374,278630,1250,14.9
6025-2290-19_Stg3NIL,6025,2290-19_Stg3NIL,1,6025,6025_1,6025_6025_1,1,732,346,253272,1250,14.64
7005-SC328,7005,SC328,1,7005,7005_1,7005_7005_1,1,680,342,232560,1250,13.6
7009-1790E_SC56_SC33,7009,1790E_SC56_SC33,1,7009,7009_1,7009_7009_1,1,819,398,325962,1250,16.38
