Plot,Range,Row,Pass,Rep,Pedigree,Length_mm,Width_mm,Area_mm2
2005,2,6,2,1,SC964,4.032,3.367,9.947
3005,3,6,2,1,BTx635_DW2,3.585555556,3.016666667,8.23
4005,4,6,2,1,PINK_KAFIR,3.455,3.068,7.954
5005,5,6,2,1,SC35-14E,4.19,3.732,11.55
6005,6,6,2,1,BTx623,3.993,3.472,10.399
7005,7,6,2,1,SC328,4.342,3.706,11.997
2009,2,10,3,1,RTx430_BL,4.267,3.85,12.038
3009,3,10,3,1,M10P0052_BTx623,3.949,3.345,9.754
4009,4,10,3,1,BTx615,3.891,3.117,9.003
5009,5,10,3,1,R9188,3.724,2.812,8.013
6009,6,10,3,1,B10001,4.189,3.268,10.09
7009,7,10,3,1,1790E_(SC56/SC33),3.889,3.333,9.699
2013,2,14,4,1,Tx7000,4.267,3.764,11.847
3013,3,14,4,1,SC56,4.33,3.674,11.68
4013,4,14,4,1,R11018,4.095,3.764,11.629
5013,5,14,4,1,RTx2536,3.647,3.67,10.42
6013,6,14,4,1,SC1154-14E,4.175,3.657,11.355
7013,7,14,4,1,Tx2882,3.865,3.926,11.533
2017,2,18,5,1,RLBK1,3.894,3.612,10.234
3017,3,18,5,1,KS19,3.838,3.352,9.548
4017,4,18,5,1,BTx2752,4.03,3.308,9.865
5017,5,18,5,1,BTx623_DW1,4.258,3.563,11.284
6017,6,18,5,1,P898012,3.641,3.008,8.554
7017,7,18,5,1,B.Tx642,3.985,3.708,10.936
2021,2,22,6,1,SC326-6,3.945,3.467,10.059
3021,3,22,6,1,SC348,4.517,3.998,13.223
4021,4,22,6,1,6085-9_Stg4 NIL,4.167,3.854,11.734
5021,5,22,6,1,96CD635,3.664,3.612,10.186
6021,6,22,6,1,B4R (BTx406/Rio),3.624,2.96,8.121
7021,7,22,6,1,Macia,4.061,3.644,11.109
2025,2,26,7,1,RTx430,4.317,3.788,12.162
3025,3,26,7,1,2219-3_Stg2 NIL,3.891,3.763,10.888
4025,4,26,7,1,R.Tx436,3.356,3.524,9.006
5025,5,26,7,1,BTx642/Tx7000 NILStg1,4.407,3.92,12.719
6025,6,26,7,1,2290-19_Stg3 NIL,4.292,3.807,12.048
7025,7,26,7,1,SC283,3.789,2.702,7.801
2029,2,30,8,2,R.Tx436,3.767,3.846,11.094
3029,3,30,8,2,KS19,4.1,3.53,10.87
4029,4,30,8,2,2290-19_Stg3 NIL,4.292,3.922,12.237
5029,5,30,8,2,RLBK1,3.733,3.508,9.669
6029,6,30,8,2,PINK_KAFIR,3.598,3.165,8.542
7029,7,30,8,2,SC964,4.192727273,3.362727273,10.44818182
2033,2,34,9,2,R11018,4.287,4.131,13.148
3033,3,34,9,2,P898012,3.709,3.079,8.845
4033,4,34,9,2,SC56,4.534,3.841,12.896
5033,5,34,9,2,SC1154-14E,4.326,3.656,11.893
6033,6,34,9,2,SC328,4.293,3.399,10.942
7033,7,34,9,2,M10P0052_BTx623,3.988,3.685,11.11
2037,2,38,10,2,2219-3_Stg2 NIL,3.952,3.76,11.027
3037,3,38,10,2,RTx430,4.429,4.108,13.618
4037,4,38,10,2,Macia,4.056,3.653,11.096
5037,5,38,10,2,Tx7000,4.305,3.919,12.511
6037,6,38,10,2,SC348,4.587,3.89,13.41
7037,7,38,10,2,Tx2882,3.8,4.041,11.791
2041,2,42,11,2,RTx430_BL,4.555,4.301,14.552
3041,3,42,11,2,B4R (BTx406/Rio),4.003,3.448,10.589
4041,4,42,11,2,R9188,3.836,3.003,8.694
5041,5,42,11,2,BTx623,3.956,3.66,11.139
6041,6,42,11,2,RTx2536,3.928,3.787,11.317
7041,7,42,11,2,B.Tx642,4.054,3.647,10.971
2045,2,46,12,2,SC35-14E,4.292,3.863,12.13
3045,3,46,12,2,SC283,3.35,2.757,6.897
4045,4,46,12,2,BTx615,4.213,3.406,10.646
5045,5,46,12,2,6085-9_Stg4 NIL,3.982,3.687,10.723
6045,6,46,12,2,BTx623_DW1,4.069,3.186,9.373
7045,7,46,12,2,BTx635_DW2,3.845,3.137,9.196
2049,2,50,13,2,BTx642/Tx7000 NILStg1,4.495,4.053,13.447
3049,3,50,13,2,BTx2752,3.981,3.303,9.845
4049,4,50,13,2,B10001,4.221,3.493,10.905
5049,5,50,13,2,96CD635,3.979,4.143,12.875
6049,6,50,13,2,SC326-6,3.653,3.156,8.444
7049,7,50,13,2,1790E_(SC56/SC33),4.005,3.621,11.121
2053,2,54,14,3,BTx623,4.254,3.734,11.54
3053,3,54,14,3,SC964,4.147,3.459,10.65
4053,4,54,14,3,SC35-14E,4.316,3.61,11.296
5053,5,54,14,3,96CD635,3.896,4.03,12.319
6053,6,54,14,3,SC1154-14E,4.352,3.7,12.064
7053,7,54,14,3,RLBK1,4.01,3.77,10.961
2057,2,58,15,3,Macia,3.979,3.58,10.521
3057,3,58,15,3,1790E_(SC56/SC33),4.376,3.745,11.883
4057,4,58,15,3,SC326-6,3.718,3.465,9.599
5057,5,58,15,3,Tx2882,3.758,3.86,10.957
6057,6,58,15,3,B.Tx642,4.152,3.732,11.356
7057,7,58,15,3,SC348,4.279,4.215,13.822
2061,2,62,16,3,SC283,4.11,3.887,11.798
3061,3,62,16,3,RTx2536,3.827,3.75,11.161
4061,4,62,16,3,KS19,4.059,3.464,10.417
5061,5,62,16,3,BTx623_DW1,4.057,3.455,10.559
6061,6,62,16,3,R11018,4.202,4.059,12.862
7061,7,62,16,3,2219-3_Stg2 NIL,4.072,3.741,11.228
2065,2,66,17,3,SC56,4.312,3.937,12.622
3065,3,66,17,3,RTx430,4.505,3.984,13.485
4065,4,66,17,3,M10P0052_BTx623,4.04,3.47,10.455
5065,5,66,17,3,P898012,3.698,3.15,9.191
6065,6,66,17,3,RTx430_BL,4.352,4.007,13.003
7065,7,66,17,3,PINK_KAFIR,3.73,3.204,9.038
2069,2,70,18,3,6085-9_Stg4 NIL,4.067,3.983,11.99
3069,3,70,18,3,BTx2752,4.13,3.448,10.59
4069,4,70,18,3,Tx7000,4.173,3.92,12.128
5069,5,70,18,3,R.Tx436,3.524,3.769,10.205
6069,6,70,18,3,R9188,3.888,3.035,9.001
7069,7,70,18,3,2290-19_Stg3 NIL,4.148,3.872,11.696
2073,2,74,19,3,SC328,4.256,3.608,11.546
3073,3,74,19,3,BTx615,4.597,3.615,12.021
4073,4,74,19,3,BTx642/Tx7000 NILStg1,4.365,4.004,12.775
