Plot,Number of Kernels,mean kernel hardness index,mean_kernel_dia_mm,mean_kernel_weight_mg
3005,8,96.94125843,2.971433789,22.57358718
4005,10,71.16578178,2.522670174,20.61651287
5005,9,64.87830098,2.988912582,35.7950467
6005,9,73.51902686,2.700462023,29.68645011
7005,10,65.77196617,2.388609576,28.32529507
2009,10,66.33613758,3.050453782,34.3608552
3009,10,82.01125717,2.614284801,25.03860474
4009,8,67.2471633,2.710911423,26.84628475
5009,10,93.25823212,2.225625539,18.52498264
6009,10,84.50211182,2.638198185,25.57642784
7009,10,55.24966078,2.606729317,22.52876921
2013,9,59.63879522,3.066631847,32.4884368
3013,10,70.20385475,2.725493836,30.89488983
4013,10,57.73756142,2.702164936,27.6081996
5013,8,80.08555841,2.980272025,31.5522275
6013,10,56.7141552,2.683826971,27.84723186
7013,9,66.61035495,2.907302962,32.7540279
2017,10,61.57468987,2.603186584,22.70804253
3017,10,89.29775238,2.432795525,22.58852673
4017,9,78.2038837,2.758000241,27.76755375
5017,10,68.42398224,2.579142022,26.95086079
6017,9,75.50002289,2.373756064,22.19013998
7017,10,64.78193493,2.703117919,27.96674709
2021,10,83.17035294,2.493730521,23.90320263
3021,8,52.0789752,3.082474589,38.20030594
4021,10,69.10461121,2.973203444,31.19367981
5021,9,73.19888136,2.476447158,25.24443775
6021,9,67.30413183,2.498774793,21.45976384
7021,10,71.12168541,2.569808817,27.18989334
2025,9,60.3064536,2.877271944,28.95607461
3025,9,76.93299272,2.923034615,29.15526835
4025,10,83.32946777,2.45962224,24.14223499
5025,9,60.69649718,3.03821018,37.72058254
6025,9,74.29,2.98,32.74
7025,10,98.15427551,2.272095728,18.10667572
2029,10,79.01517525,3.217075276,33.64375839
3029,10,68.4925293,2.775132513,29.34118176
4029,9,78.39666155,3.316866027,33.79647361
5029,8,65.42889643,2.742972076,22.33455491
6029,9,77.53798845,2.511520823,20.91530206
7029,11,66.9853585,2.410843091,21.62153339
2033,9,52.68,2.99,39.17
3033,9,72.2714831,2.321842114,19.58734671
4033,9,60.94348823,3.182231744,39.24109226
5033,10,45.92972369,2.611476469,28.08626375
6033,9,69.44082896,2.733223544,27.82067214
7033,10,65.88055725,2.758687997,25.27763748
2037,8,66.35195351,3.222471982,37.87163734
3037,10,70.27622337,3.218287885,40.57568693
4037,10,80.94781113,2.871728182,28.38505363
5037,10,57.55959263,3.058188844,30.17779427
6037,10,54.75346451,3.169850707,35.73528843
7037,10,73.83860397,2.945486474,32.68762989
2041,10,76.4362114,3.304040122,43.38431282
3041,10,76.20439529,2.858076262,29.58021393
4041,9,81.94543711,2.17595613,19.78654035
5041,7,53.61013535,2.993816001,26.29352352
6041,10,83.63695068,2.732884288,30.05827789
7041,9,58.47740957,2.48091348,26.69191011
2045,10,73.00621223,3.139441204,34.00230694
3045,10,89.01411819,2.270196748,16.37369432
4045,9,64.06282467,3.000566112,30.01179949
5045,9,63.36509577,2.637222568,26.55911414
6045,9,80.01270845,2.251969655,18.25939125
7045,10,85.80018654,2.688131285,24.50078278
2049,10,54.52210503,3.27756505,38.90246277
3049,10,91.88776665,2.630936337,24.73981533
4049,9,79.4094162,2.737511529,32.13652844
5049,9,65.5808754,3.039963616,36.05399789
6049,10,85.91535034,2.124044681,17.74812822
7049,10,58.71471252,2.783785486,27.36916752
2053,9,72.31999122,2.564648496,28.68384382
3053,10,60.42046871,2.465321875,23.90320301
4053,10,62.96944427,2.547426152,27.30940933
5053,9,66.71607897,3.161553038,35.85480478
6053,10,66.84157791,2.844798589,28.62408562
7053,10,65.01723957,2.693147254,25.57642708
2057,9,72.75836521,2.536220047,27.62811852
3057,10,77.93416824,2.61943897,30.11803579
4057,10,83.17085114,2.597951865,22.88731651
5057,8,69.34002066,2.852344394,30.192734
6057,9,74.90180037,3.004247904,31.54558775
7057,6,58.81730334,3.470536431,42.66721725
2061,10,67.42095985,2.902296901,31.97053318
3061,9,74.8645507,2.597530312,28.15930155
4061,9,67.35667886,2.716809511,26.36656041
5061,9,85.61580234,2.622746097,26.62551244
6061,5,67.10693665,2.978175688,35.01819267
7061,10,68.20075111,2.820719051,29.40093975
2065,9,59.94889323,3.092948649,36.71797604
3065,10,66.33547821,3.018122458,34.30109615
4065,8,79.55543709,2.685562849,27.18989372
5065,8,64.92345595,2.53755331,20.24302483
6065,9,65.52530713,3.112317774,35.85480436
7065,8,66.38549614,2.654018432,23.08153021
2069,9,67.9921875,2.80478051,33.53088231
3069,10,80.41961365,2.762752008,26.23376522
4069,9,58.90640958,2.936170499,32.40211974
5069,10,76.22958336,2.584804773,26.05449123
6069,10,91.36649475,2.239385092,19.42135239
7069,10,77.72052994,3.012687492,31.97053432
2073,9,60.58789105,2.74888187,30.54298147
3073,10,65.29295769,3.107643867,31.1339222
4073,6,75.25632858,2.949939132,35.0580314
5073,9,77.69177331,2.723855575,24.03599866
6073,10,88.5770298,2.558394122,23.60441303
7073,10,94.62828674,2.915840316,26.2935236
