Plot,Range,Row,Pass,Rep,Pedigree,Length_mm,Width_mm,Area_mm2,Number of Kernels,mean_kernel_dia_mm,mean_kernel_weight_mg
2005,2,6,2,1,SC964,4.032,3.367,9.947,,,
3005,3,6,2,1,BTx635_DW2,3.585555556,3.016666667,8.23,8.0,2.971433789,22.57358718
4005,4,6,2,1,PINK_KAFIR,3.455,3.068,7.954,10.0,2.522670174,20.61651287
5005,5,6,2,1,SC35-14E,4.19,3.732,11.55,9.0,2.988912582,35.7950467
6005,6,6,2,1,BTx623,3.993,3.472,10.399,9.0,2.700462023,29.68645011
7005,7,6,2,1,SC328,4.342,3.706,11.997,10.0,2.388609576,28.32529507
2009,2,10,3,1,RTx430_BL,4.267,3.85,12.038,10.0,3.050453782,34.3608552
3009,3,10,3,1,M10P0052_BTx623,3.949,3.345,9.754,10.0,2.614284801,25.03860474
4009,4,10,3,1,BTx615,3.891,3.117,9.003,8.0,2.710911423,26.84628475
5009,5,10,3,1,R9188,3.724,2.812,8.013,10.0,2.225625539,18.52498264
6009,6,10,3,1,B10001,4.189,3.268,10.09,10.0,2.638198185,25.57642784
7009,7,10,3,1,1790E_(SC56/SC33),3.889,3.333,9.699,10.0,2.606729317,22.52876921
2013,2,14,4,1,Tx7000,4.267,3.764,11.847,9.0,3.066631847,32.4884368
3013,3,14,4,1,SC56,4.33,3.674,11.68,10.0,2.725493836,30.89488983
4013,4,14,4,1,R11018,4.095,3.764,11.629,10.0,2.702164936,27.6081996
5013,5,14,4,1,RTx2536,3.647,3.67,10.42,8.0,2.980272025,31.5522275
6013,6,14,4,1,SC1154-14E,4.175,3.657,11.355,10.0,2.683826971,27.84723186
7013,7,14,4,1,Tx2882,3.865,3.926,11.533,9.0,2.907302962,32.7540279
2017,2,18,5,1,RLBK1,3.894,3.612,10.234,10.0,2.603186584,22.70804253
3017,3,18,5,1,KS19,3.838,3.352,9.548,10.0,2.432795525,22.58852673
4017,4,18,5,1,BTx2752,4.03,3.308,9.865,9.0,2.758000241,27.76755375
5017,5,18,5,1,BTx623_DW1,4.258,3.563,11.284,10.0,2.579142022,26.95086079
6017,6,18,5,1,P898012,3.641,3.008,8.554,9.0,2.373756064,22.19013998
7017,7,18,5,1,B.Tx642,3.985,3.708,10.936,10.0,2.703117919,27.96674709
2021,2,22,6,1,SC326-6,3.945,3.467,10.059,10.0,2.493730521,23.90320263
3021,3,22,6,1,SC348,4.517,3.998,13.223,8.0,3.082474589,38.20030594
4021,4,22,6,1,6085-9_Stg4 NIL,4.167,3.854,11.734,10.0,2.973203444,31.19367981
5021,5,22,6,1,96CD635,3.664,3.612,10.186,9.0,2.476447158,25.24443775
6021,6,22,6,1,B4R (BTx406/Rio),3.624,2.96,8.121,9.0,2.498774793,21.45976384
7021,7,22,6,1,Macia,4.061,3.644,11.109,10.0,2.569808817,27.18989334
2025,2,26,7,1,RTx430,4.317,3.788,12.162,9.0,2.877271944,28.95607461
3025,3,26,7,1,2219-3_Stg2 NIL,3.891,3.763,10.888,9.0,2.923034615,29.15526835
4025,4,26,7,1,R.Tx436,3.356,3.524,9.006,10.0,2.45962224,24.14223499
5025,5,26,7,1,BTx642/Tx7000 NILStg1,4.407,3.92,12.719,9.0,3.03821018,37.72058254
6025,6,26,7,1,2290-19_Stg3 NIL,4.292,3.807,12.048,9.0,2.98,32.74
7025,7,26,7,1,SC283,3.789,2.702,7.801,10.0,2.272095728,18.10667572
2029,2,30,8,2,R.Tx436,3.767,3.846,11.094,10.0,3.217075276,33.64375839
3029,3,30,8,2,KS19,4.1,3.53,10.87,10.0,2.775132513,29.34118176
4029,4,30,8,2,2290-19_Stg3 NIL,4.292,3.922,12.237,9.0,3.316866027,33.79647361
5029,5,30,8,2,RLBK1,3.733,3.508,9.669,8.0,2.742972076,22.33455491
6029,6,30,8,2,PINK_KAFIR,3.598,3.165,8.542,9.0,2.511520823,20.91530206
7029,7,30,8,2,SC964,4.192727273,3.362727273,10.44818182,11.0,2.410843091,21.62153339
2033,2,34,9,2,R11018,4.287,4.131,13.148,9.0,2.99,39.17
3033,3,34,9,2,P898012,3.709,3.079,8.845,9.0,2.321842114,19.58734671
4033,4,34,9,2,SC56,4.534,3.841,12.896,9.0,3.182231744,39.24109226
5033,5,34,9,2,SC1154-14E,4.326,3.656,11.893,10.0,2.611476469,28.08626375
6033,6,34,9,2,SC328,4.293,3.399,10.942,9.0,2.733223544,27.82067214
7033,7,34,9,2,M10P0052_BTx623,3.988,3.685,11.11,10.0,2.758687997,25.27763748
2037,2,38,10,2,2219-3_Stg2 NIL,3.952,3.76,11.027,8.0,3.222471982,37.87163734
3037,3,38,10,2,RTx430,4.429,4.108,13.618,10.0,3.218287885,40.57568693
4037,4,38,10,2,Macia,4.056,3.653,11.096,10.0,2.871728182,28.38505363
5037,5,38,10,2,Tx7000,4.305,3.919,12.511,10.0,3.058188844,30.17779427
6037,6,38,10,2,SC348,4.587,3.89,13.41,10.0,3.169850707,35.73528843
7037,7,38,10,2,Tx2882,3.8,4.041,11.791,10.0,2.945486474,32.68762989
2041,2,42,11,2,RTx430_BL,4.555,4.301,14.552,10.0,3.304040122,43.38431282
3041,3,42,11,2,B4R (BTx406/Rio),4.003,3.448,10.589,10.0,2.858076262,29.58021393
4041,4,42,11,2,R9188,3.836,3.003,8.694,9.0,2.17595613,19.78654035
