Plot,Range,Row,Pass,Rep,Pedigree,Length_mm,Width_mm,Area_mm2,Number of Kernels,mean_kernel_dia_mm,mean_kernel_weight_mg,Unnamed: 0,id,Rep_x,Image_id,Rep_y,area_cir_mm2,area_ellip_mm2
2005,2,6,2,1,SC964,4.032,3.367,9.947,,,,0.0,2005-SC964,1.0,2005_2005_1,1.0,14.1875896,11.69267183
3005,3,6,2,1,BTx635_DW2,3.585555556,3.016666667,8.23,8.0,2.971433789,22.57358718,6.0,3005-BTx635_DW2,1.0,3005_3005_1,1.0,15.43592245,13.60179088
4005,4,6,2,1,PINK_KAFIR,3.455,3.068,7.954,10.0,2.522670174,20.61651287,,,,,,,
5005,5,6,2,1,SC35-14E,4.19,3.732,11.55,9.0,2.988912582,35.7950467,,,,,,,
6005,6,6,2,1,BTx623,3.993,3.472,10.399,9.0,2.700462023,29.68645011,24.0,6005-BTx623,1.0,6005_6005_1,1.0,17.61191387,14.27044358
7005,7,6,2,1,SC328,4.342,3.706,11.997,10.0,2.388609576,28.32529507,30.0,7005-SC328,1.0,7005_7005_1,1.0,14.80137531,12.65531802
2009,2,10,3,1,RTx430_BL,4.267,3.85,12.038,10.0,3.050453782,34.3608552,,,,,,,
3009,3,10,3,1,M10P0052_BTx623,3.949,3.345,9.754,10.0,2.614284801,25.03860474,7.0,3009-M10P0052_BTx623,1.0,3009_3009_1,1.0,15.03429104,12.38435833
4009,4,10,3,1,BTx615,3.891,3.117,9.003,8.0,2.710911423,26.84628475,13.0,4009-BTx615,1.0,4009_4009_1,1.0,10.99237925,9.142504088
5009,5,10,3,1,R9188,3.724,2.812,8.013,10.0,2.225625539,18.52498264,19.0,5009-R9188,1.0,5009_5009_1,1.0,14.48933554,12.31579009
6009,6,10,3,1,B10001,4.189,3.268,10.09,10.0,2.638198185,25.57642784,25.0,6009-B10001,1.0,6009_6009_1,1.0,15.91343832,13.1462036
7009,7,10,3,1,1790E_(SC56/SC33),3.889,3.333,9.699,10.0,2.606729317,22.52876921,,,,,,,
2013,2,14,4,1,Tx7000,4.267,3.764,11.847,9.0,3.066631847,32.4884368,2.0,2013-Tx7000,1.0,2013_2013_1,1.0,19.67315254,16.76663567
3013,3,14,4,1,SC56,4.33,3.674,11.68,10.0,2.725493836,30.89488983,8.0,3013-SC56,1.0,3013_3013_1,1.0,10.70484344,8.828318838
4013,4,14,4,1,R11018,4.095,3.764,11.629,10.0,2.702164936,27.6081996,14.0,4013-R11018,1.0,4013_4013_1,1.0,18.1084349,15.20804164
5013,5,14,4,1,RTx2536,3.647,3.67,10.42,8.0,2.980272025,31.5522275,20.0,5013-RTx2536,1.0,5013_5013_1,1.0,12.46386858,9.832375
6013,6,14,4,1,SC1154-14E,4.175,3.657,11.355,10.0,2.683826971,27.84723186,26.0,6013-SC1154-14E,1.0,6013_6013_1,1.0,12.89215906,10.42848409
7013,7,14,4,1,Tx2882,3.865,3.926,11.533,9.0,2.907302962,32.7540279,32.0,7013-Tx2882,1.0,7013_7013_1,1.0,14.70775509,12.33085873
2017,2,18,5,1,RLBK1,3.894,3.612,10.234,10.0,2.603186584,22.70804253,3.0,2017-RLBK1,1.0,2017_2017_1,1.0,9.523713248,8.325975546
3017,3,18,5,1,KS19,3.838,3.352,9.548,10.0,2.432795525,22.58852673,9.0,3017-KS19,1.0,3017_3017_1,1.0,13.44420149,11.20796162
4017,4,18,5,1,BTx2752,4.03,3.308,9.865,9.0,2.758000241,27.76755375,15.0,4017-BTx2752,1.0,4017_4017_1,1.0,17.64955089,15.04491312
5017,5,18,5,1,BTx623_DW1,4.258,3.563,11.284,10.0,2.579142022,26.95086079,21.0,5017BTx623_DW1,1.0,5017_5017_1,1.0,12.70998164,11.46997727
6017,6,18,5,1,P898012,3.641,3.008,8.554,9.0,2.373756064,22.19013998,27.0,6017-P898012,1.0,6017_6017_1,1.0,15.47408677,13.5432832
7017,7,18,5,1,B.Tx642,3.985,3.708,10.936,10.0,2.703117919,27.96674709,,,,,,,
2021,2,22,6,1,SC326-6,3.945,3.467,10.059,10.0,2.493730521,23.90320263,4.0,2021-SC326-6,1.0,2021_2021_1,1.0,16.83576252,14.68616624
3021,3,22,6,1,SC348,4.517,3.998,13.223,8.0,3.082474589,38.20030594,10.0,3021-SC348,1.0,3021_3021_1,1.0,13.25760275,11.90361473
4021,4,22,6,1,6085-9_Stg4 NIL,4.167,3.854,11.734,10.0,2.973203444,31.19367981,,,,,,,
5021,5,22,6,1,96CD635,3.664,3.612,10.186,9.0,2.476447158,25.24443775,22.0,5021-96CD635,1.0,5021_5021_1,1.0,21.23887822,17.39706245
6021,6,22,6,1,B4R (BTx406/Rio),3.624,2.96,8.121,9.0,2.498774793,21.45976384,,,,,,,
7021,7,22,6,1,Macia,4.061,3.644,11.109,10.0,2.569808817,27.18989334,34.0,7021-Macia,1.0,7021_7021_1,1.0,23.00369647,22.00120791
2025,2,26,7,1,RTx430,4.317,3.788,12.162,9.0,2.877271944,28.95607461,5.0,2025-RTx430,1.0,2025_2025_1,1.0,11.23371313,9.364414512
3025,3,26,7,1,2219-3_Stg2 NIL,3.891,3.763,10.888,9.0,2.923034615,29.15526835,,,,,,,
4025,4,26,7,1,R.Tx436,3.356,3.524,9.006,10.0,2.45962224,24.14223499,,,,,,,
5025,5,26,7,1,BTx642/Tx7000 NILStg1,4.407,3.92,12.719,9.0,3.03821018,37.72058254,,,,,,,
6025,6,26,7,1,2290-19_Stg3 NIL,4.292,3.807,12.048,9.0,2.98,32.74,,,,,,,
7025,7,26,7,1,SC283,3.789,2.702,7.801,10.0,2.272095728,18.10667572,35.0,7025-SC283,1.0,7025_7025_1,1.0,8.583030965,7.359897683
2029,2,30,8,2,R.Tx436,3.767,3.846,11.094,10.0,3.217075276,33.64375839,,,,,,,
3029,3,30,8,2,KS19,4.1,3.53,10.87,10.0,2.775132513,29.34118176,42.0,3029-KS19,2.0,3017_3017_2,2.0,12.37189786,10.62304285
4029,4,30,8,2,2290-19_Stg3 NIL,4.292,3.922,12.237,9.0,3.316866027,33.79647361,,,,,,,
5029,5,30,8,2,RLBK1,3.733,3.508,9.669,8.0,2.742972076,22.33455491,53.0,5029-RLBK1,2.0,2017_2017_2,2.0,12.26682727,10.37460609
6029,6,30,8,2,PINK_KAFIR,3.598,3.165,8.542,9.0,2.511520823,20.91530206,,,,,,,
7029,7,30,8,2,SC964,4.192727273,3.362727273,10.44818182,11.0,2.410843091,21.62153339,65.0,7029-SC964,2.0,2005_2005_2,2.0,8.727145198,7.038632067
2033,2,34,9,2,R11018,4.287,4.131,13.148,9.0,2.99,39.17,37.0,2033-R11018,2.0,4013_4013_2,2.0,12.48805164,10.71040306
3033,3,34,9,2,P898012,3.709,3.079,8.845,9.0,2.321842114,19.58734671,43.0,3033-P898012,2.0,6017_6017_2,2.0,10.06470078,8.25262993
4033,4,34,9,2,SC56,4.534,3.841,12.896,9.0,3.182231744,39.24109226,49.0,4033-SC56,2.0,3013_3013_2,2.0,13.95954571,11.57963057
5033,5,34,9,2,SC1154-14E,4.326,3.656,11.893,10.0,2.611476469,28.08626375,54.0,5033-SC1154-14E,2.0,6013_6013_2,2.0,11.40309976,9.771417857
6033,6,34,9,2,SC328,4.293,3.399,10.942,9.0,2.733223544,27.82067214,60.0,6033-SC328,2.0,7005_7005_2,2.0,15.97859167,12.77918835
7033,7,34,9,2,M10P0052_BTx623,3.988,3.685,11.11,10.0,2.758687997,25.27763748,66.0,7033-M10P0052_BTx623,2.0,3009_3009_2,2.0,10.36529771,8.551903812
2037,2,38,10,2,2219-3_Stg2 NIL,3.952,3.76,11.027,8.0,3.222471982,37.87163734,,,,,,,
3037,3,38,10,2,RTx430,4.429,4.108,13.618,10.0,3.218287885,40.57568693,44.0,3037-RTx430,2.0,2025_2025_2,2.0,15.02591231,12.45569957
4037,4,38,10,2,Macia,4.056,3.653,11.096,10.0,2.871728182,28.38505363,50.0,4037-Macia,2.0,7021_7021_2,2.0,12.19791952,10.43839738
5037,5,38,10,2,Tx7000,4.305,3.919,12.511,10.0,3.058188844,30.17779427,55.0,5037-Tx7000,2.0,2013_2013_2,2.0,14.26182288,11.97049078
