,id,Plot,Pedigree,Rep_x,Image_id,Rep_y,area_cir_mm2,area_ellip_mm2
0,2005-SC964,2005,SC964,1,2005_2005_1,1,14.1875896,11.69267183
1,2009-RTx430BL,2009,RTx430BL,1,2009_2009_1,1,8.82371232,7.009835018
2,2013-Tx7000,2013,Tx7000,1,2013_2013_1,1,19.67315254,16.76663567
3,2017-RLBK1,2017,RLBK1,1,2017_2017_1,1,9.523713248,8.325975546
4,2021-SC326-6,2021,SC326-6,1,2021_2021_1,1,16.83576252,14.68616624
5,2025-RTx430,2025,RTx430,1,2025_2025_1,1,11.23371313,9.364414512
6,3005-BTx635_DW2,3005,BTx635_DW2,1,3005_3005_1,1,15.43592245,13.60179088
7,3009-M10P0052_BTx623,3009,M10P0052_BTx623,1,3009_3009_1,1,15.03429104,12.38435833
8,3013-SC56,3013,SC56,1,3013_3013_1,1,10.70484344,8.828318838
9,3017-KS19,3017,KS19,1,3017_3017_1,1,13.44420149,11.20796162
10,3021-SC348,3021,SC348,1,3021_3021_1,1,13.25760275,11.90361473
11,3025-2219-3_Stg2NIL,3025,2219-3_Stg2NIL,1,3025_3025_1,1,15.39458708,12.63087528
12,4005-SN72_PINK_KAFIR,4005,SN72_PINK_KAFIR,1,4005_4005_1,1,12.64432061,11.01772617
13,4009-BTx615,4009,BTx615,1,4009_4009_1,1,10.99237925,9.142504088
14,4013-R11018,4013,R11018,1,4013_4013_1,1,18.1084349,15.20804164
15,4017-BTx2752,4017,BTx2752,1,4017_4017_1,1,17.64955089,15.04491312
16,4021-6085-9_Stg4NIL,4021,6085-9_Stg4NIL,1,4021_4021_1,1,13.22888335,10.61291786
17,4025-RTx436,4025,RTx436,1,4025_4025_1,1,13.41812657,11.8718109
18,5005-SC35_14E,5005,SC35_14E,1,5005_5005_1,1,9.2435523,8.219971017
19,5009-R9188,5009,R9188,1,5009_5009_1,1,14.48933554,12.31579009
20,5013-RTx2536,5013,RTx2536,1,5013_5013_1,1,12.46386858,9.832375
21,5017BTx623_DW1,5017,BTx623_DW1,1,5017_5017_1,1,12.70998164,11.46997727
22,5021-96CD635,5021,96CD635,1,5021_5021_1,1,21.23887822,17.39706245
23,5025-BTx642_Tx7000NILStg1,5025,BTx642_Tx7000NILStg1,1,5025_5025_1,1,14.58335575,13.14926592
24,6005-BTx623,6005,BTx623,1,6005_6005_1,1,17.61191387,14.27044358
25,6009-B10001,6009,B10001,1,6009_6009_1,1,15.91343832,13.1462036
26,6013-SC1154-14E,6013,SC1154-14E,1,6013_6013_1,1,12.89215906,10.42848409
27,6017-P898012,6017,P898012,1,6017_6017_1,1,15.47408677,13.5432832
28,6021-B4R_BTx406_RIO,6021,B4R_BTx406_RIO,1,6021_6021_1,1,13.10600683,11.62021251
29,6025-2290-19_Stg3NIL,6025,2290-19_Stg3NIL,1,6025_6025_1,1,10.81229947,8.975702657
30,7005-SC328,7005,SC328,1,7005_7005_1,1,14.80137531,12.65531802
31,7009-1790E_SC56_SC33,7009,1790E_SC56_SC33,1,7009_7009_1,1,13.83279224,12.302837
32,7013-Tx2882,7013,Tx2882,1,7013_7013_1,1,14.70775509,12.33085873
33,7017BTx642,7017,BTx642,1,7017_7017_1,1,11.27285781,11.17454624
34,7021-Macia,7021,Macia,1,7021_7021_1,1,23.00369647,22.00120791
35,7025-SC283,7025,SC283,1,7025_7025_1,1,8.583030965,7.359897683
36,2029-RTx436,2029,RTx436,2,4025_4025_2,2,13.56192512,12.16450874
37,2033-R11018,2033,R11018,2,4013_4013_2,2,12.48805164,10.71040306
38,2037-2219-3_Stg2NIL,2037,2219-3_Stg2NIL,2,3025_3025_2,2,12.87176456,11.15483033
39,2041-RTx430BL,2041,RTx430BL,2,2009_2009_2,2,14.4764241,13.14379632
40,2045-SC35_14E,2045,SC35_14E,2,5005_5005_2,2,18.3514433,15.42293203
41,2049-BTx642_Tx7000,2049,BTx642_Tx7000NILStg1,2,5025_5025_2,2,13.89819962,13.11873755
42,3029-KS19,3029,KS19,2,3017_3017_2,2,12.37189786,10.62304285
43,3033-P898012,3033,P898012,2,6017_6017_2,2,10.06470078,8.25262993
44,3037-RTx430,3037,RTx430,2,2025_2025_2,2,15.02591231,12.45569957
45,3041-B4R_BTx406_Rio,3041,B4R_BTx406_Rio,2,6021_6021_2,2,13.52157807,11.60309604
46,3045-SC283,3045,SC283,2,7025_7025_2,2,10.5636323,7.875014944
47,3049-BTx2752,3049,BTx2752,2,4017_4017_2,2,10.43196201,8.906663523
48,4029-2290-19_Stg3NIL,4029,2290-19_Stg3NIL,2,6025_6025_2,2,18.49474413,16.18667981
49,4033-SC56,4033,SC56,2,3013_3013_2,2,13.95954571,11.57963057
50,4037-Macia,4037,Macia,2,7021_7021_2,2,12.19791952,10.43839738
51,4045-BTx615,4045,BTx615,2,4009_4009_2,2,13.81379314,11.62105563
52,4049-B10001,4049,B10001,2,6009_6009_2,2,12.79132467,10.95504279
53,5029-RLBK1,5029,RLBK1,2,2017_2017_2,2,12.26682727,10.37460609
54,5033-SC1154-14E,5033,SC1154-14E,2,6013_6013_2,2,11.40309976,9.771417857
55,5037-Tx7000,5037,Tx7000,2,2013_2013_2,2,14.26182288,11.97049078
56,5041-BTx623,5041,BTx623,2,6005_6005_2,2,13.79968232,11.76701938
57,5045-6085-9_Stg4NIL,5045,6085-9_Stg4NIL,2,4021_4021_2,2,14.05602249,12.35101607
58,5049-96CD635,5049,96CD635,2,5021_5021_2,2,14.71251172,12.53161128
59,6029-SN72_PINK_KAFIR,6029,SN72_PINK_KAFIR,2,4005_4005_2,2,8.979293417,7.728252645
60,6033-SC328,6033,SC328,2,7005_7005_2,2,15.97859167,12.77918835
61,6037-SC348,6037,SC348,2,3021_3021_2,2,17.37374184,16.45433416
62,6041-RTx2536,6041,RTx2536,2,5013_5013_2,2,12.43520395,11.1304283
63,6045-BTx623_DW1,6045,BTx623_DW1,2,5017_5017_2,2,15.21423114,12.79133281
64,6049-SC326-6,6049,SC326-6,2,2021_2021_2,2,13.34861187,11.59925124
