Plot,Range,Row,Pass,Rep,Pedigree,id_image,Camera_Area_mm2,Digital_Area_mm2,SKCS_Kernel_dia_mm,Kernel_weight_mg
2005,2,6,2,1,SC964,2005-SC964,9.947,11.69267183,NA,NA
3005,3,6,2,1,BTx635_DW2,3005-BTx635_DW2,8.23,13.60179088,2.971433789,22.57358718
4005,4,6,2,1,SN72_PINK_KAFIR,4005-SN72_PINK_KAFIR,7.954,11.01772617,2.522670174,20.61651287
5005,5,6,2,1,SC35_14E,5005-SC35_14E,11.55,8.219971017,2.988912582,35.7950467
6005,6,6,2,1,BTx623,6005-BTx623,10.399,14.27044358,2.700462023,29.68645011
7005,7,6,2,1,SC328,7005-SC328,11.997,12.65531802,2.388609576,28.32529507
2009,2,10,3,1,RTx430BL,2009-RTx430BL,12.038,7.009835018,3.050453782,34.3608552
3009,3,10,3,1,M10P0052_BTx623,3009-M10P0052_BTx623,9.754,12.38435833,2.614284801,25.03860474
4009,4,10,3,1,BTx615,4009-BTx615,9.003,9.142504088,2.710911423,26.84628475
5009,5,10,3,1,R9188,5009-R9188,8.013,12.31579009,2.225625539,18.52498264
6009,6,10,3,1,B10001,6009-B10001,10.09,13.1462036,2.638198185,25.57642784
7009,7,10,3,1,1790E_SC56_SC33,7009-1790E_SC56_SC33,9.699,12.302837,2.606729317,22.52876921
2013,2,14,4,1,Tx7000,2013-Tx7000,11.847,16.76663567,3.066631847,32.4884368
3013,3,14,4,1,SC56,3013-SC56,11.68,8.828318838,2.725493836,30.89488983
4013,4,14,4,1,R11018,4013-R11018,11.629,15.20804164,2.702164936,27.6081996
5013,5,14,4,1,RTx2536,5013-RTx2536,10.42,9.832375,2.980272025,31.5522275
6013,6,14,4,1,SC1154-14E,6013-SC1154-14E,11.355,10.42848409,2.683826971,27.84723186
7013,7,14,4,1,Tx2882,7013-Tx2882,11.533,12.33085873,2.907302962,32.7540279
2017,2,18,5,1,RLBK1,2017-RLBK1,10.234,8.325975546,2.603186584,22.70804253
3017,3,18,5,1,KS19,3017-KS19,9.548,11.20796162,2.432795525,22.58852673
4017,4,18,5,1,BTx2752,4017-BTx2752,9.865,15.04491312,2.758000241,27.76755375
5017,5,18,5,1,BTx623_DW1,5017BTx623_DW1,11.284,11.46997727,2.579142022,26.95086079
6017,6,18,5,1,P898012,6017-P898012,8.554,13.5432832,2.373756064,22.19013998
7017,7,18,5,1,BTx642,7017BTx642,10.936,11.17454624,2.703117919,27.96674709
2021,2,22,6,1,SC326-6,2021-SC326-6,10.059,14.68616624,2.493730521,23.90320263
3021,3,22,6,1,SC348,3021-SC348,13.223,11.90361473,3.082474589,38.20030594
4021,4,22,6,1,6085-9_Stg4NIL,4021-6085-9_Stg4NIL,11.734,10.61291786,2.973203444,31.19367981
5021,5,22,6,1,96CD635,5021-96CD635,10.186,17.39706245,2.476447158,25.24443775
6021,6,22,6,1,B4R_BTx406_RIO,6021-B4R_BTx406_RIO,8.121,11.62021251,2.498774793,21.45976384
7021,7,22,6,1,Macia,7021-Macia,11.109,22.00120791,2.569808817,27.18989334
2025,2,26,7,1,RTx430,2025-RTx430,12.162,9.364414512,2.877271944,28.95607461
3025,3,26,7,1,2219-3_Stg2NIL,3025-2219-3_Stg2NIL,10.888,12.63087528,2.923034615,29.15526835
4025,4,26,7,1,RTx436,4025-RTx436,9.006,11.8718109,2.45962224,24.14223499
5025,5,26,7,1,BTx642_Tx7000NILStg1,5025-BTx642_Tx7000NILStg1,12.719,13.14926592,3.03821018,37.72058254
6025,6,26,7,1,2290-19_Stg3NIL,6025-2290-19_Stg3NIL,12.048,8.975702657,2.98,32.74
